,id,date,username,name,tweet,language,sentiment,positive_score,negative_score,neutral_score,mixed_score
29,1373367899310669826,2021-03-20,njooshialkuwari,كواري,@_3awaash @GoRafeeq مسويته من يومين,ar,NEUTRAL,0.03213384374976158,0.29959627985954285,0.6681711673736572,9.866249456536025e-05
30,1373367156134543366,2021-03-20,_3awaash,waashi 🦙,@NjooshiAlKuwari @GoRafeeq Update,en,NEUTRAL,0.00053757632849738,0.0004235518863424659,0.9990270137786865,1.19331762107322e-05
31,1373366320369172481,2021-03-20,njooshialkuwari,كواري,ليش جي 😶@GoRafeeq  https://t.co/By1QjPHc6p,ar,NEUTRAL,0.0037868099752813578,0.002526446245610714,0.9933831095695496,0.00030361447716131806
32,1373361665547366401,2021-03-20,njooshialkuwari,كواري,@GoRafeeq صارلي تقريبا نص ساعه على هالصفحة  https://t.co/7LkOejEomi,ar,NEUTRAL,0.0296922717243433,0.03139418363571167,0.9388919472694397,2.1552272301050834e-05
33,1373350462561382404,2021-03-20,ahalkuwari87,أحمد الكواري,@GoRafeeq اتمنى تشوفون حل حق مشكلة السواقين الي يقبلون الطلب ولا يروحون يستلمونه، ثلاث مرات واجهتني المشكلة والحين توني طالب وكلمت المطعم بعد ساعة ونص قالولي الطلب جاهز من نص ساعه بس مافي سواق من رفيق عشان يوصله. يعني لا نقدر نكنسل الطلب ولا تردون على تلفوناتكم.,ar,NEGATIVE,0.0007113932515494525,0.9913408160209656,0.007941711694002151,6.044622296030866e-06
36,1373275526111100928,2021-03-20,alnaajlaa,N a j l a ؏ A l K h a t e r,@GoRafeeq لاازودكم ولاتزودوني يعني كل مانطلب نجي نكلمكم وتحلون المشكله .؟! للعلم الاغلب يعاني من مشكلة التأخير يجب حلها او تعلموا من ادارة  @Talabat طلبنا من نفس المكان وتاخرتوا وطلبت من طلبات ووصلني وانتوا ماوصلتوا 🤕,ar,NEGATIVE,0.001063483185134828,0.8985437750816345,0.10036766529083252,2.508761281205807e-05
39,1372987894747566080,2021-03-19,qtr_555555,﮼راقيه ‏ݺااللواءالمتقاعده ✯🇶🇦,@GoRafeeq ان شاءالله يوصل طلبي اليوم قدلي ساعتين من طالبه لو طابخه لي خاروف الحين استوا وبعدين معكم ومع تاخيركم,ar,NEGATIVE,0.10754511505365372,0.5180222392082214,0.3741890490055084,0.00024357518122997135
43,1372844703683592196,2021-03-19,alnaajlaa,N a j l a ؏ A l K h a t e r,@GoRafeeq لاتدخلون علي خاص وتعطوني اعذار مو مقنعه او كود توصيل فري 🤚🏼.. شوفوا وين الخلل لو سمحتوا وعالجوه .,ar,NEGATIVE,0.00838774349540472,0.9365819692611694,0.054973237216472626,5.69973599340301e-05
44,1372844005302669313,2021-03-19,alnaajlaa,N a j l a ؏ A l K h a t e r,@GoRafeeq كل مره اكتب وامسح اعطي فرصه واختلق لكم مليون عذر الحين اعذروني اني اقول الابلكيشن فاشل جداً ولا فيه اي مصداقيه يكتب لك ساعه بعد ساعتين يجونك ويكلموني يقول طلبك جاهز بس ننتظر رفيق طيب انا شسوي يعني ارسل سواقي مثلاً .. بس حلو عشان يعلمونا التأخير مو منهم منكم,ar,NEGATIVE,0.0046786959283053875,0.9329809546470642,0.051736850291490555,0.0106035266071558
46,1372637523424518148,2021-03-18,q_love15,ســنـــيار قـــطــر .. المعالى كايده,@GoRafeeq كل شي يخطر على بالى اكيد بلقاه بالتطبيق ولكن وقت التوصيل سيئ جدا جدا وهذي ثاني مره اكتب لكم بتويتر بخصوص هذا الامر للامانه مو كل الطلبات تتاخر ولكن اغلبها,ar,NEGATIVE,0.003597103524953127,0.855619490146637,0.1372457593679428,0.0035377705935388803
49,1372349230333968386,2021-03-18,wagwanfn,Wagwan,@GoRafeeq على كثر ماتدفعون على دعاياتكم لو تدفعون شوي منها على الخدمة ..,ar,NEGATIVE,0.002642600564286113,0.8841686248779297,0.113173708319664,1.5125733625609428e-05
50,1372347572996685824,2021-03-18,wagwanfn,Wagwan,للأسف من شركات توصيل الاكل اللي دايماً تصير لي معهم مشاكل   وللاسف نحاول ندعم ولا فيه فايدة ..   @GoRafeeq,ar,NEGATIVE,0.0001136181817855686,0.99601811170578,0.003839826676994562,2.8487394956755452e-05
51,1372277161730658313,2021-03-17,saraalemadi5,س💎,@dhalemadi @GoRafeeq يمكن ماتطلبين وايد منهم😹,ar,NEUTRAL,0.006998850032687187,0.003534927498549223,0.9894596338272095,6.56610973237548e-06
52,1372276811246223364,2021-03-17,dhalemadi,دانه,@saraalemadi5 @GoRafeeq ليش انا الوحيده الي عمري ما اشتكيت منهم😂,ar,NEGATIVE,0.0023385495878756046,0.6243603825569153,0.37325626611709595,4.471456486498937e-05
53,1372269296898949126,2021-03-17,saraalemadi5,س💎,@fx6ima @GoRafeeq اي والله!,ar,NEUTRAL,0.17303124070167542,0.002153499284759164,0.8247805833816528,3.4696829970926046e-05
54,1372260245368672258,2021-03-17,fx6ima,فّ,@saraalemadi5 @GoRafeeq والله صحح,ar,NEUTRAL,0.09971946477890015,0.07047764211893082,0.8296470642089844,0.0001558430230943486
56,1372253744201601035,2021-03-17,saraalemadi5,س💎,كل مرة رفيق يخلوني اتحسف اني اطلب منهم@GoRafeeq,ar,NEGATIVE,0.012770417146384716,0.8295193910598755,0.15634816884994507,0.0013620179379358888
66,1371184192982245381,2021-03-14,am235__,MA,@GoRafeeq  احبكم لان احلى شي فيكم انكم توصلون الاكل بسرعه😔🤍,ar,POSITIVE,0.98183673620224,0.0017715203575789928,0.015994329005479813,0.0003973458951804787
70,1370845164411949061,2021-03-14,l5nol,🇶🇦.,@GoRafeeq مَ انقهر بروحي😔.,ar,NEUTRAL,0.05446964129805565,0.07802679389715195,0.8671075105667114,0.0003960158792324364
72,1370720081529995266,2021-03-13,ramonqtr,🇶🇦﮼شجاع,@GoRafeeq  للاسف خدمتكم بدت تنزل صار اهتمام رفيق فالبوتيك والمشاهير نرجع على طلبات احسن لنا,ar,MIXED,0.02953937090933323,0.24476933479309082,0.04358765855431557,0.68210369348526
73,1370716232031350785,2021-03-13,ramonqtr,🇶🇦﮼شجاع,@GoRafeeq للاسف بداية انطلاقة رفيق كان خدمتكم بدون منافس الأن خدمتكم صارت تعبانه الدليل يوصلني الطلب مع الدريول ومعاه طلبات غير طلبي من مطاعم اخرى يجي الاكل بارد وبنفس الوقت مافي دقه في الوقت المكتوب عندما تطلب,ar,MIXED,0.017056984826922417,0.44530218839645386,0.084968201816082,0.4526726007461548
76,1370478550080425991,2021-03-12,alad3am_qtr,م. المحمد #قطر,أتمنى من شركات التوصيل ايقاف طلبات التوصيل عبر الدراجات النارية في مثل هذه الأجواء الحملة بالغبار والعاصفة الترابية رأفة ورحمة بالسائقين @GoRafeeq  @snoonu_qa  @Talabat  @TryCarriage,ar,NEGATIVE,0.20878225564956665,0.43905916810035706,0.3520919680595398,6.666289846180007e-05
79,1370351088969379840,2021-03-12,socooon2,socooon,@GoRafeeq  اعزائي قدمت ع طلب لكن للأسف بعد سحب المبلغ من البطاقة .. تلقيت اتصال ان المنتج اللي طلبته غير موجود .. اتصل خدمة العملاء لإلغاء الطلب ما حد يرد ع الاتصال و بالاخير يتم انهاء المكالمة .. احتاج مساعدة,ar,NEGATIVE,3.343162461533211e-05,0.9985772371292114,0.001369027653709054,2.0228284483891912e-05
83,1370331109301620739,2021-03-12,m7md_alkuwari,محمد الكوآري 🇶🇦,@GoRafeeq خدمتهم جداً سيئه  عطناهم فرص بحكم ان ( وطني ) لكن فعلا لايستحقون الدعم ابداً,ar,NEGATIVE,0.0022994326427578926,0.6220484972000122,0.012132301926612854,0.36351972818374634
87,1370074838921048079,2021-03-11,alarabi_syria,جمهور العربي القطري في سوريا ❤️,@GoRafeeq @bobader1973 @alarabi_club في توصيل لتركيا ؟,ar,NEUTRAL,0.0001708670170046389,0.00039495580131188035,0.999423623085022,1.0587990800559055e-05
88,1370061731624521734,2021-03-11,isam39284058,Isam Hamza,@An_almaadeed @GoRafeeq نفس الملاحظات نزلت التطبيق على الرغم ما يغطي الولايات المتحدة ولا العراق -البصرة كنت اتوقع التصميم احلى واسهل بالاستخدام بالاضافة عدد المطاعم محدود بي اكل على اكسسوارات مال سيارات كنت اتوقع مختص بالمطاعم فقط وبعض الملاحظات الاخرى ..كل التوفيق,ar,NEUTRAL,0.20391736924648285,0.10052934288978577,0.6903804540634155,0.005172767210751772
89,1370060974133293061,2021-03-11,plantatree2018,ازرع شجرة,@An_almaadeed @GoRafeeq للاسف خدمة عملاء رفيق 👎.. فعلا مستواهم نزل,ar,NEGATIVE,0.0006588239339180291,0.9701283574104309,0.02895277366042137,0.00025998003548011184
97,1369924003226411009,2021-03-11,an_almaadeed,"A. Al-Maadeed, MSW",التطبيق قطري 👏🏼وفقتم من ناحية التسويق له مع مشاهير السوشل ميديا، لكن اللي ينفر ان معظمهم عندهم نفس المنتجات (وندري ان المنتج يعرض لهم من قبل الشركة) مش هم اللي يقترحونه .. تخيل عميل مسوي فولو حق معظم المشاهير في التطبيق، بيشوف نفس المنتج اكثر من مره سوا شراه ولا لا @GoRafeeq,ar,NEGATIVE,0.020328406244516373,0.6947973370552063,0.2666080892086029,0.01826614700257778
98,1369923303431954433,2021-03-11,an_almaadeed,"A. Al-Maadeed, MSW",@GoRafeeq بدايتكم كانت قوية، لكن الاتساع في خدمات مختلفة خلت التطبيق صعب استخدامه وشكله مب حلو كfront end .. مع ان كان افضل تطبيق من ناحية التوصيل لمناطق كثيرة، الا ان الكستمر سيرفس خدمة شبة معدومة.,ar,MIXED,0.0005258175660856068,0.0035058213397860527,0.00016253237845376134,0.9958058595657349
99,1369907892606865408,2021-03-11,mgood_777999,MA🇶🇦,@GoRafeeq اخر شي الطلب يوصل بعد 17 سنة ضوئية برجع اطلب من معصرة السلاطين 💔,ar,NEGATIVE,0.0006424125749617815,0.7836240530014038,0.21572044491767883,1.3078346455586143e-05
102,1369727012299038720,2021-03-10,d0_1k,Da,أسوأ شركه في خدمه العملاء @GoRafeeq,ar,NEGATIVE,0.0002626644854899496,0.9973234534263611,0.002410302637144923,3.6642775285145035e-06
107,1369588829615755266,2021-03-10,rf_alhajri,بـوفـهــــد,@GoRafeeq @lusailnews لاشكر على واجب 🌹  انتوا اللي مشكورين 👏🏼  حقيقة يُحسب لكم ، الأخذ بالملاحظات وسماع اراء افراد المجتمع 👍🏼  شركة قطرية نفخر بها وداعمة لكثير من المشاريع الوطنية .. بالتوفيق دائماً وابداً ❤️,ar,POSITIVE,0.9979572296142578,0.00020749740360770375,0.0018224900122731924,1.2811889973818325e-05
111,1369430237675655171,2021-03-10,euc___,م .,كل مره اغلط نفس الغلطه واطلب من رفيق ويتأخر علي (' @GoRafeeq,ar,NEGATIVE,0.006376741454005241,0.8544774651527405,0.13909146189689636,5.429322482086718e-05
112,1369392230297968652,2021-03-09,qqtr974,سهــــم .🇶🇦,@GoRafeeq السلام عليكم ممكن تردون على الخاص لو سمحتو ❤️,ar,POSITIVE,0.7618532776832581,0.0008004833944141865,0.23732693493366241,1.9268563846708275e-05
114,1369284962936123395,2021-03-09,qa6r,AJ+ ayan 🔇,@halhjri14 @snoonu_qa @GoRafeeq جميل ماذكرت  يعني الهدف  ان يستحوذ هيرو عليكم ؟  بعد فكرة منطقية ما اقدر اختلف معاك فيها   عموما هو مقترح بهدف ان يبدا ملاك  (رفيق و سنونو) التفكير في امكانية الشركة   واذا حصل او لا لكم جميعا كل المحبة وفخور بجهودكم جميعا 🙏💕,ar,POSITIVE,0.8738105297088623,0.001176138175651431,0.12496788054704666,4.547904973151162e-05
116,1369263901989339137,2021-03-09,person14161961,🕊,@GoRafeeq واضح انهم من اولوياتكم .. و الدليل ان الطلب كان الساعه ١٢:١٠ ووصلني الساعه ٢:٣٨ !!! لا وواصلني الطلب غلط ؟!! سواقكم يدور يلم اوردرات و يوصل على طريقه ..,ar,NEUTRAL,0.008896810002624989,0.28956305980682373,0.7015226483345032,1.7492162442067638e-05
118,1369257036647645184,2021-03-09,halhjri14,Hamad Al-Hajri | QNV2030,@qa6r @snoonu_qa @GoRafeeq أخي العزيز ، جميع هذه المشاريع التي ذكرتها تم أنشائها من قبل رواد أعمال وليس ديليفري هيرو وتم الأستحواذ عليها .. فعلياً هم شركة أستثمارية وليست تشغيلية .. وفي عالم ريادة الأعمال لا يوجد هناك مستحيل أو صعوبات والمخاوف فقط داخلية 🙂,ar,NEUTRAL,0.008911777287721634,0.018835140392184258,0.9722267985343933,2.627906360430643e-05
119,1369254353949884416,2021-03-09,person14161961,🕊,@GoRafeeq تم حذف الابليكيشن الزفت بنجاح 🙌🏻,ar,POSITIVE,0.5204756855964661,0.018573345616459846,0.46070876717567444,0.00024211741401813924
120,1369236342329257984,2021-03-09,qa6r,AJ+ ayan 🔇,@halhjri14 @snoonu_qa الاندماج مع تطبيق (رفيق )  @GoRafeeq   والاستفادة من الجهد الجماعي (ماليا،عمليات، تسويق ،....الخ)  لتحسين فرص النجاة والاستمرارية أمام عملاق هيرو  (طلبات وكاريج و هنقر ستيشن، ...... الخ )  او ستحصل النتيجة الحتمية ولو بعد حين .  https://t.co/UO944UZY2g,ar,NEUTRAL,0.002639840357005596,0.0013881938066333532,0.9959661960601807,5.775288173026638e-06
125,1369167425502121985,2021-03-09,_alialateeq,عليّ العتيق | Ali Alateeq,@GoRafeeq لاتحل مشكلتي لاني كنسلت التطبيق بس قولو حق السواقين الي عندكم لايقزرها على العالم ويقعد يمر يوزع طلبات ويجي عقب ساعتين او اكثر.,ar,NEGATIVE,0.026587774977087975,0.7433326244354248,0.22981378436088562,0.00026579631958156824
128,1369140093190037504,2021-03-09,rashidalhajri88,Rashid Alhajri,@M7mdAl_rasheed @GoRafeeq عندك @snoonu_qa و  @Talabat مبدعين 👍,ar,NEUTRAL,0.03326157107949257,0.00021938927238807082,0.9664813876152039,3.7655263440683484e-05
129,1369058890885836802,2021-03-09,r2021rrr,ss k 2020,@Nasser_Alwobair @GoRafeeq سلام عليكم امانة امانة انا بستحلفكم بالله تقفوا معي بباقي تكاليف عملية ابني محتاج عملية بالعيون  وانا معي التقرير الطبي ومعي وصولات الناس يلي ساعدونا  اقسم بكتاب الله قربت اجمع مبلغ العملية اترجاكم يا اهل الخير تساعدوني  ما النا غيركم بعد رب العالمين,ar,POSITIVE,0.8990872502326965,0.023666296154260635,0.07533027976751328,0.0019162069074809551
131,1369015411409367041,2021-03-08,qqtr974,سهــــم .🇶🇦,@GoRafeeq السلام عليكم ممكن تردون على الخاص,ar,NEUTRAL,0.04800163954496384,0.034489769488573074,0.9174819588661194,2.666899308678694e-05
132,1369012625149923330,2021-03-08,_alialateeq,عليّ العتيق | Ali Alateeq,@kkuwari93 @GoRafeeq  https://t.co/bwQomKVVTb,und,NEUTRAL,0.0008222049218602479,0.0003904163895640522,0.998755693435669,3.170836134813726e-05
133,1369010224800075779,2021-03-08,m7mdal_rasheed,M7md,والله العظيم مافي شي تتحسف عليه ف حياتك اكثر من انك تستخدم برنامج @GoRafeeq عشان تطلب اكل.. ١- تنطر ساعتين ع فاضي ٢- اتم يوعان ٣- وخدمة العملاء تحرق اعصابك,ar,MIXED,0.017512720078229904,0.46591585874557495,0.005489331670105457,0.5110821723937988
134,1369009299901591553,2021-03-08,kkuwari93,خالد بن عبدالله 👑,@_alialateeq @GoRafeeq  https://t.co/cjfykSNkNs,und,NEUTRAL,0.0008900586399249732,0.0009728314471431077,0.997841477394104,0.0002955990203190595
135,1369009168250793987,2021-03-08,m7mdal_rasheed,M7md,@GoRafeeq برنامج سيء وخدمة عملاء ٠/١٠,ar,NEGATIVE,0.001140883076004684,0.9535454511642456,0.045246001332998276,6.761429540347308e-05
136,1369006916395995146,2021-03-08,3en1419,عبدالرحمـٰن بن صالح الغامديّ 🇶🇦,@GoRafeeq ردّوا العشر مالت التوصيل ✋🏼,ar,NEUTRAL,0.010911056771874428,0.24478061497211456,0.744288444519043,1.9881021216860972e-05
137,1369006913720041474,2021-03-08,3en1419,عبدالرحمـٰن بن صالح الغامديّ 🇶🇦,@GoRafeeq خدمة فاشلة، اوقات وهميه، تأخير غير مبرر، واتصلكم ماتردون، ونقعتوني فوق الساعه على اوردر لمطعم مايبعد مني غير ١٠ دقايق والطلب يجهز لو اني رايح بنفسي خلال ٢٠ دقيقه، ولو اني طالب ومعود كان كل هالوقت على بعضه ٤٠ دقيقه، توبه عاد اطلب من عندكم 👎🏼  https://t.co/Nxy9QQbO8z,ar,NEGATIVE,0.0004119001096114516,0.99420565366745,0.00537888053804636,3.599481033234042e-06
138,1369002735044091906,2021-03-08,_alialateeq,عليّ العتيق | Ali Alateeq,اسوأ خدمة مع مرتبة الشرف. تم حذف التطبيق بنجاح  @GoRafeeq,ar,NEGATIVE,0.00011346492101438344,0.9994136095046997,0.0004583912086673081,1.464865908928914e-05
139,1368951208942133251,2021-03-08,yousefj75701164,Yousef Jamal,@GoRafeeq @lina_qishawi يا سلام يا حلوة .. يا ست الحبايب,ar,POSITIVE,0.9358415007591248,0.00370855163782835,0.060297466814517975,0.00015252246521413326
141,1368865680360144897,2021-03-08,3amoroog,3aMoRoo _GaminG,@GoRafeeq كلنا مع حقوق المرأة و لسنا مع التعصب الأعمى المدعو feminist,ar,NEUTRAL,0.002472672611474991,0.43204352259635925,0.56536865234375,0.00011511749471537769
145,1368256916527448065,2021-03-06,j_almarre,جـابـر بن محمد المـري,@GoRafeeq ساعتين ونص انتظار!!؟🤔  ياتقدمون خدمة مثل الناس ياتسكرون  https://t.co/u4AogoADoq,ar,NEUTRAL,0.004793105646967888,0.39034393429756165,0.6048462390899658,1.6667647287249565e-05
148,1368133929652338691,2021-03-06,setetxqeppllajs,اسماعيل الشمري,@Nasser_Alwobair @GoRafeeq الف مبروك متوفر بالعراق كتابه !؟؟؟,ar,POSITIVE,0.9866434335708618,0.007452708203345537,0.00587056577205658,3.3323467505397275e-05
150,1367934648320458752,2021-03-05,bokhalid85,Abdulaziz Alemadi,@GoRafeeq مافي فايده الضرب في ميت حراااام,ar,NEUTRAL,0.0024472824297845364,0.4639741778373718,0.5333991050720215,0.00017944454157259315
152,1367858436365500417,2021-03-05,mozamd,mozamd 🇶🇦,@GoRafeeq ممكن حد يتواصل معاي. نفس المشكله للمره الثانيه,ar,NEGATIVE,0.0008600000292062759,0.7906686663627625,0.20845448970794678,1.6822637917357497e-05
155,1367832227120357376,2021-03-05,rkstyping,RoudaAlsuwaidi,@mbs_alhawal @GoRafeeq كفو على مريم شكراً يالفزعه,ar,POSITIVE,0.8173789381980896,0.07087668031454086,0.11144784837961197,0.0002965299063362181
156,1367829747317768193,2021-03-05,mbs_alhawal,MBS.,@RKSTyping @GoRafeeq  https://t.co/lWcrHFbt6W,und,NEUTRAL,0.0009153096470981836,0.0006411622161976993,0.9982611536979675,0.00018243398517370224
157,1367827701046910977,2021-03-05,mrrvii,𝐌𝐚𝐫𝐫𝐢,@GoRafeeq افشل شركة الرقم مالكم مقطوع والناس عندها طلبات كيف تتواصل معاكم؟؟؟ وسواقينكم ضايعين ف الشوارع  مايعرفون وين موقع الطلب!!! اخر مره اتعامل معاكم والله طلبات وكاريج شركة احسن منكم يكفي احترامهم للزباين وخدمتهم المتواصله شركات لو عندنا مشكله نقدر نتواصل وياهم مب مثلكم رقم مقطوع!,ar,NEGATIVE,0.021095380187034607,0.7232869267463684,0.023577695712447166,0.23204001784324646
158,1367825986046267393,2021-03-05,mrrvii,𝐌𝐚𝐫𝐫𝐢,افشل تطبيق في قطر @GoRafeeq لدرجة ان السواق مالهم ضايع وواقف نص ساعه في منطقة ثانية ورقم البداله حقهم مايتصل ويقطع على طول!! شركة قطرية نبي ندعمكم بس على هالسيرفس لا اسمحولي كاريج وطلبات احسن منكم بمليون مره. 😅,ar,NEGATIVE,0.003367661265656352,0.9767292737960815,0.019795721396803856,0.00010735632531577721
161,1367790961611399168,2021-03-05,mbiny1966,محمد #قطر_تنتصر,@GoRafeeq تعبنا معاكم يارفيق كيف نجدد الثقه بينا وبينكم وانتم مستهترين ولا تهتمون بالعملاء ؟,ar,NEGATIVE,0.0049371132627129555,0.7863359451293945,0.20866306126117706,6.39449935988523e-05
162,1367779441762525187,2021-03-05,voiceqtr,﮼صــوت  ﮼قـــطـــر,@GoRafeeq @F_6_A_I_M يا رفيق والله اني لكم ناصح لوجه الله   مستواكم في تدني و الاصوات الغير راضيه عن خدمتكم في ازديات : لا تقيسوا النجاح بالمال  رضاء العميل راس المال  اعيدوا حساباتكم وقللوا من التزاماتكم اذا لا تستطيعون توفير خدمه مميزه   الناس الان متجهين للجوده و التميز لا للكم,ar,NEGATIVE,0.012782984413206577,0.9090469479560852,0.07726489007472992,0.0009052105597220361
163,1367602340895879169,2021-03-05,khaneba,Tayyeba,@scorpio_AAK @GoRafeeq No doubt it is 👎🏼,en,NEUTRAL,0.007286013104021549,0.024978680536150932,0.9676865935325623,4.870373595622368e-05
164,1367602163472547840,2021-03-05,khaneba,Tayyeba,@GoRafeeq top worst services ever. U should learn how to apologize from ur customers. I ordered something from the app and came after ages. Disgusting. Never goona order from your app 👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼,en,NEGATIVE,5.825221523991786e-05,0.999411940574646,0.0005225313943810761,7.3143182817148045e-06
166,1367542397970886656,2021-03-04,ar991s,S✨75,@GoRafeeq,und,NEUTRAL,0.0019045842345803976,0.00180202501360327,0.9962615370750427,3.184267188771628e-05
169,1367188582960627712,2021-03-03,scorpio_aak,🦋,@GoRafeeq THE WORST SERVICE !,en,NEGATIVE,0.00015897033154033124,0.9991371035575867,0.0007000971236266196,3.8355151446012314e-06
173,1366983255682088961,2021-03-03,x9o9_,Алия - علياء,@GoRafeeq شنو المشكله ؟ جربت باكثر من فون!  https://t.co/YM6rIKKcBl,ar,NEUTRAL,0.0028085396625101566,0.03785865008831024,0.959324061870575,8.723483915673569e-06
174,1366811686095708161,2021-03-02,alyafei71,ALQATARI ﮼عبدالمحسن,@GoRafeeq بتواصل معاكم عالخاص,ar,NEUTRAL,0.04202407971024513,0.2282765954732895,0.7296581268310547,4.124691622564569e-05
175,1366787594130964486,2021-03-02,ali86r,بوحسن,@GoRafeeq تشكر على التواصل لكن الطلب تم حول ١٠ ساعات ولا وصل وفوق هذا تم ألغاء الطلب,ar,MIXED,0.0011611536610871553,0.0677487850189209,0.0017058814410120249,0.9293842315673828
179,1366683301617012738,2021-03-02,kbr_87,KHALED..,@GoRafeeq شنو هالمعامله السيئه منكم اطلب من رفيق يكتب لي نص ساعه والطلب يوصله بعد ساعتين مو اول مررررره 😔,ar,NEGATIVE,0.00513232359662652,0.5915831923484802,0.4032147526741028,6.968066736590117e-05
181,1366646989862162432,2021-03-02,khalifa66601,khalifa,لو طالب من رفيق ابرك @GoRafeeq,ar,NEUTRAL,0.038061659783124924,0.06482422351837158,0.8970932960510254,2.0809135094168596e-05
182,1366595937829875712,2021-03-02,ali86r,بوحسن,@GoRafeeq  https://t.co/LymKmkwbT7,und,NEUTRAL,0.000800962676294148,0.0005220594466663897,0.9986244440078735,5.245174543233588e-05
186,1366492127010697219,2021-03-01,aljabir_k,خالد الجابر,@GoRafeeq أسوء شركة توصيل,ar,NEGATIVE,0.0002662287442944944,0.9913948178291321,0.008326586335897446,1.2288147445360664e-05
187,1366474886865055745,2021-03-01,njouud6_,نجّود,@GoRafeeq خدمتكم سيئة جدا ، الطلب صارله ساعه جاهز عند المطعم ومحد راح ياخذه والحين متاخر ساعه ونص ، وثاني شي محد يرد من خدمة العملاء والسايق مايرد بعد,ar,NEGATIVE,0.0009053534595295787,0.9858614206314087,0.013162762857973576,7.040763011900708e-05
